policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse,env_id,group,tier,algo,seed
ppo,-0.025383477513279226,0.49329878854751574,0.5373136470147541,0.1853299996852874,0.011358895815734694,asymmetric_medium,asymmetric,medium,ppo,29.0
ppo,-0.10204584463419665,0.4764747759933985,0.556869857091989,0.19478361810557532,0.012181692357470564,asymmetric_medium,asymmetric,medium,ppo,43.0
ppo,-0.07118645090556569,0.5012159477600029,0.553115818709135,0.21416732907295208,0.013048578556892034,asymmetric_medium,asymmetric,medium,ppo,7.0
sac,0.07460374941144657,1.2041701804569793,1.2377184226172313,0.3848908825516698,0.38156417056694913,asymmetric_medium,asymmetric,medium,sac,29.0
sac,0.25224912458658216,1.1771326112747191,1.214102548360824,0.33014052459597576,0.42066945642001774,asymmetric_medium,asymmetric,medium,sac,43.0
sac,-0.02896984118223203,1.1817076546464649,1.123913641146251,0.3764861988723275,0.46742520252441594,asymmetric_medium,asymmetric,medium,sac,7.0
td3,0.23527887915287696,1.2132453434382169,1.1532830775380134,0.39252334426343416,0.45165299099261697,asymmetric_medium,asymmetric,medium,td3,29.0
td3,0.32788212646756865,1.1108567191532677,1.2242485749380931,0.43692598164081553,0.5528988495775954,asymmetric_medium,asymmetric,medium,td3,43.0
td3,0.37510819543259505,0.9452602140562871,1.3561772214174268,0.4441334902346132,0.5654325272826619,asymmetric_medium,asymmetric,medium,td3,7.0
ppo,-0.046282550003911814,0.4688444654068777,0.5043010701537132,0.1753259139992295,0.009629139726703578,asymmetric_mild,asymmetric,mild,ppo,29.0
ppo,-0.11045003611062257,0.4536825345414028,0.5209613039067815,0.2158664294853805,0.011099021865834172,asymmetric_mild,asymmetric,mild,ppo,43.0
ppo,-0.03624809526652101,0.4238774854668548,0.4817284495362213,0.22747673888504485,0.009153066673469408,asymmetric_mild,asymmetric,mild,ppo,7.0
sac,0.1498334070358958,1.0732293577194207,1.1984438652651646,0.35080518826842294,0.39367924251686615,asymmetric_mild,asymmetric,mild,sac,29.0
sac,0.2733755292551858,1.110189861501966,1.1425579276766096,0.3219660044312475,0.4075024675626288,asymmetric_mild,asymmetric,mild,sac,43.0
sac,-0.08281393019642151,1.1915532463618683,1.0724293593679153,0.40905454966425864,0.4886088883647228,asymmetric_mild,asymmetric,mild,sac,7.0
td3,0.01507741692236489,1.11746998323713,1.2206167821884146,0.4077032469213006,0.3371986278638974,asymmetric_mild,asymmetric,mild,td3,29.0
td3,0.30977935126210954,0.9600604285001757,1.2075191350494112,0.3486903745681044,0.5660474776170865,asymmetric_mild,asymmetric,mild,td3,43.0
td3,0.31391746529511066,0.9182140925867217,1.3639843961170741,0.3454523975104091,0.446021313131484,asymmetric_mild,asymmetric,mild,td3,7.0
ppo,-0.05579795832506247,0.4815046450197696,0.5083933231404849,0.19971343719214185,0.010673217709155716,asymmetric_strong,asymmetric,strong,ppo,29.0
ppo,-0.05353330412826368,0.4755275283881595,0.5703344896137713,0.17551109763234848,0.01173827017560024,asymmetric_strong,asymmetric,strong,ppo,43.0
ppo,-0.06428217684051817,0.47448797452024044,0.5416120647915772,0.14852280853316172,0.010320188452832172,asymmetric_strong,asymmetric,strong,ppo,7.0
sac,0.023821201971599017,1.263234242047582,1.3024188633475982,0.35406755176186544,0.3701012114864353,asymmetric_strong,asymmetric,strong,sac,29.0
sac,0.2826524794149612,1.2164022753238672,1.3685028207642684,0.3188304828125982,0.4614105703121212,asymmetric_strong,asymmetric,strong,sac,43.0
sac,0.09040402304274699,1.136268594980239,1.3058329190867282,0.3523433459997176,0.3844875809792721,asymmetric_strong,asymmetric,strong,sac,7.0
td3,0.2811794478041784,1.3504982937063488,1.2270928371804102,0.2605579805076119,0.5240061219916983,asymmetric_strong,asymmetric,strong,td3,29.0
td3,-0.05952728748108669,1.1563772943445612,1.190505420676299,0.26472656667977557,0.598265024675091,asymmetric_strong,asymmetric,strong,td3,43.0
td3,0.2926774191643512,0.8356585588795795,1.6094614604200634,0.3929760598689316,0.5727103674084613,asymmetric_strong,asymmetric,strong,td3,7.0
ppo,-0.06003466494381428,0.4377625002637504,0.49152226247638453,0.24075752389431,0.013948888873859337,benchmark,benchmark,baseline,ppo,29.0
ppo,-0.04825797717273236,0.4384499554708598,0.44964059901237485,0.24299596618115898,0.012504926222725286,benchmark,benchmark,baseline,ppo,43.0
ppo,-0.1015811830163002,0.48096729457378373,0.4771268858015537,0.26290748891234395,0.016043784507788025,benchmark,benchmark,baseline,ppo,7.0
sac,-0.09647983255982394,1.10694514067471,1.0824110747575753,0.46916164430975904,0.3102740090070648,benchmark,benchmark,baseline,sac,29.0
sac,0.1954903414398433,1.1735575905740256,1.0213923824280504,0.3966722744554282,0.35764747591184415,benchmark,benchmark,baseline,sac,43.0
sac,0.09507239669561393,1.1497370053380722,0.9392811893373727,0.39296093669533727,0.3337376659450889,benchmark,benchmark,baseline,sac,7.0
td3,-0.08260623002052307,0.968164929181337,1.178277175694704,0.41710513344407074,0.43645861031697625,benchmark,benchmark,baseline,td3,29.0
td3,0.03443392043188211,1.1173291535731402,0.976224155664444,0.36183562355116,0.8264003837404227,benchmark,benchmark,baseline,td3,43.0
td3,0.30411180762201556,0.956801149062812,1.2425203107297416,0.3769678295925259,0.5731309017511211,benchmark,benchmark,baseline,td3,7.0
ppo,-0.05688120196014643,0.32241757011413574,0.3755615285585323,0.1627749320765336,0.0034588253454491697,nonlinear_medium,nonlinear,medium,ppo,29.0
ppo,-0.018492056310176846,0.36941137760877596,0.4351227427721024,0.19142701034744578,0.005208958505100689,nonlinear_medium,nonlinear,medium,ppo,43.0
ppo,0.01733568519726394,0.3684294937526186,0.35697702660535785,0.19043613809098803,0.0040159902626032955,nonlinear_medium,nonlinear,medium,ppo,7.0
sac,0.011737063989043235,0.8709110403358934,1.1425725956658523,0.3798309270838895,0.2536342529057731,nonlinear_medium,nonlinear,medium,sac,29.0
sac,0.26755521170794977,0.9886626869638757,1.0487892108559613,0.4061611461838088,0.36504524278938427,nonlinear_medium,nonlinear,medium,sac,43.0
sac,0.22214160274714245,0.8861448404242592,0.9551700038860242,0.45937957980732136,0.23559707494119353,nonlinear_medium,nonlinear,medium,sac,7.0
td3,0.06844511651247748,0.9301844824105497,1.2370604405601824,0.3726691972712678,0.31895261781360773,nonlinear_medium,nonlinear,medium,td3,29.0
td3,0.15918942533433447,1.0668379417831695,0.6920468949700401,0.43261020220816143,0.549117049301308,nonlinear_medium,nonlinear,medium,td3,43.0
td3,0.1998812558203936,0.8854549869000911,1.2994899631241956,0.37299391563733414,0.5229644398012501,nonlinear_medium,nonlinear,medium,td3,7.0
ppo,-0.07728006815910342,0.3149720420658588,0.3492722209870815,0.1661969926118851,0.001878470796613128,nonlinear_mild,nonlinear,mild,ppo,29.0
ppo,-0.029085392214357863,0.35739901944398883,0.43934688544869416,0.18779176102876668,0.002929245194159594,nonlinear_mild,nonlinear,mild,ppo,43.0
ppo,0.02605162131786348,0.3729202651679516,0.3559012036085128,0.1898782996296883,0.0023581445132406014,nonlinear_mild,nonlinear,mild,ppo,7.0
sac,-0.04211051400005814,0.912121530199051,1.0208701007843017,0.47752602453231824,0.188002899367744,nonlinear_mild,nonlinear,mild,sac,29.0
sac,0.18755754166841512,0.9217757859706875,1.0042926530838014,0.4194977492809297,0.30228615310098295,nonlinear_mild,nonlinear,mild,sac,43.0
sac,0.15005056323856122,1.0396440818190573,0.923084178727865,0.48153237675428395,0.20257340602421595,nonlinear_mild,nonlinear,mild,sac,7.0
td3,0.0940867704600096,0.8068121348381042,1.0726943361759187,0.33672091510295876,0.32207943966036623,nonlinear_mild,nonlinear,mild,td3,29.0
td3,0.25599518170952806,1.051383738207817,0.8746129240274427,0.48944411501884466,0.37731959999021525,nonlinear_mild,nonlinear,mild,td3,43.0
td3,0.08806535366177562,0.9111396211385725,1.0859425896883008,0.41536454961299896,0.3389363720917425,nonlinear_mild,nonlinear,mild,td3,7.0
ppo,-0.03852151887491346,0.26653512031904286,0.31014975996741234,0.0942406135989087,0.004179924810529545,nonlinear_strong,nonlinear,strong,ppo,29.0
ppo,-0.006575491886585948,0.28198591202497486,0.304687286491905,0.11940393649680275,0.004668574304666151,nonlinear_strong,nonlinear,strong,ppo,43.0
ppo,0.007218681761994958,0.25806445078338897,0.2792185101796475,0.12414831743282934,0.003787578200333774,nonlinear_strong,nonlinear,strong,ppo,7.0
sac,-0.05591454741358755,0.9705115044968471,1.0922022377763478,0.36780654747145525,0.31540252488246473,nonlinear_strong,nonlinear,strong,sac,29.0
sac,0.272961569517851,1.2750026030199868,0.9772456471409117,0.35274148763929103,0.43857483534801966,nonlinear_strong,nonlinear,strong,sac,43.0
sac,-0.4793879131097347,1.0801397424425399,1.1241758243686393,0.3243582421381559,0.3932420334912075,nonlinear_strong,nonlinear,strong,sac,7.0
td3,0.21715419679880155,0.8659165662356785,0.9694262673173631,0.19832216971261163,0.43140336510915944,nonlinear_strong,nonlinear,strong,td3,29.0
td3,0.0686090617477894,1.155118346112115,1.22791216640813,0.28416667584010535,0.806028936425791,nonlinear_strong,nonlinear,strong,td3,43.0
td3,0.005620401538908602,1.0936524897004878,1.0908265217840674,0.3747758955742633,0.4762149288586413,nonlinear_strong,nonlinear,strong,td3,7.0
ppo,1.4099080758094789,0.2906625048319497,0.29344617017110164,-0.16592457071940153,0.036630104378005277,zlb_medium,zlb,medium,ppo,29.0
ppo,1.4801415500640873,0.29590849494934096,0.2939753487904867,-0.191359977722169,0.03584696174414808,zlb_medium,zlb,medium,ppo,43.0
ppo,1.4187737785975143,0.31726418368021647,0.3117804902394611,-0.2210514534844298,0.04504807707840445,zlb_medium,zlb,medium,ppo,7.0
sac,-0.1655698442459108,0.12866883722941103,0.27624341328938806,0.16062549336751308,0.1637186508514537,zlb_medium,zlb,medium,sac,29.0
sac,-0.19623824564615885,0.2873639437357586,0.18330444081624347,-0.04537333085801876,0.15328607097165775,zlb_medium,zlb,medium,sac,43.0
sac,-0.276807065010071,0.14543772888183593,0.2811165885925292,0.055718653361002596,0.17063754077693918,zlb_medium,zlb,medium,sac,7.0
td3,0.7789302663803105,0.656505903879802,0.6610026652018228,0.08069397226969358,0.6499199520174453,zlb_medium,zlb,medium,td3,29.0
td3,-0.2179797693888349,0.34969283612569185,0.2536482461293539,0.10789311811659082,0.541630164163303,zlb_medium,zlb,medium,td3,43.0
td3,-0.16956036074956293,0.40779618326822903,0.15188620948791504,0.07092298041449653,0.3561475227361733,zlb_medium,zlb,medium,td3,7.0
ppo,0.6819133942921958,0.37008552360534674,0.3319105962117512,-0.11967654101053887,0.04210045156724994,zlb_mild,zlb,mild,ppo,29.0
ppo,0.7145969731012979,0.3785565719604491,0.3605647837320963,-0.16649717648824064,0.047637841106206044,zlb_mild,zlb,mild,ppo,43.0
ppo,0.7631295735041301,0.353046780904134,0.36075511423746726,-0.15537196222941083,0.04200312666623724,zlb_mild,zlb,mild,ppo,7.0
sac,-0.06558207321167048,0.5430826466878249,0.6182812569936109,0.328598702748616,0.3646185635825333,zlb_mild,zlb,mild,sac,29.0
sac,-0.15575638357798283,0.5569919929504392,0.47882296689351367,0.06623674138387015,0.2752465774657801,zlb_mild,zlb,mild,sac,43.0
sac,0.14395634746551483,0.5605024770100909,0.5974194437662756,0.1634538173675536,0.23604927160693073,zlb_mild,zlb,mild,sac,7.0
td3,0.49373412450154575,0.7437830893198648,0.6947947991689042,0.10192076174418119,0.5164892848909217,zlb_mild,zlb,mild,td3,29.0
td3,-0.012590017318725798,0.8768157056172684,0.347706485748291,0.06515366999308247,0.2979804290619948,zlb_mild,zlb,mild,td3,43.0
td3,-0.18402717272440614,0.679381711324056,0.4746255149841308,0.26657015927632643,0.4312099080485768,zlb_mild,zlb,mild,td3,7.0
ppo,1.837168861025857,0.2532631244659423,0.24803877766927057,-0.1728944822038925,0.028349284181655852,zlb_strong,zlb,strong,ppo,29.0
ppo,1.8457154734475283,0.25313153711954745,0.25155886395772287,-0.18926446969168553,0.028900729652726633,zlb_strong,zlb,strong,ppo,43.0
ppo,1.8457321084340421,0.2576112321217854,0.2501756572723387,-0.20013211822509758,0.029569166415998487,zlb_strong,zlb,strong,ppo,7.0
sac,-0.27346336119515585,0.04547523117065436,0.0634290390014649,0.07193331037248889,0.08930158391081454,zlb_strong,zlb,strong,sac,29.0
sac,0.04521018745785646,0.14897423171997073,0.14830777231852216,-0.011751081194196447,0.10503360895361392,zlb_strong,zlb,strong,sac,43.0
sac,-0.018619438534691432,0.06214741643269861,0.16206583023071294,0.13499459402901798,0.14982613922550772,zlb_strong,zlb,strong,sac,7.0
td3,-0.2669310076123194,0.08629878616333013,0.08603484471639004,-0.010641402108328629,0.29372800113264225,zlb_strong,zlb,strong,td3,29.0
td3,-0.2380352301824663,0.07373465474446617,0.08222612380981448,0.07876936122349337,0.14750712042015554,zlb_strong,zlb,strong,td3,43.0
td3,0.07728635392870199,0.27788081995646163,0.05172375424702963,0.046947351728166706,0.26659774743284953,zlb_strong,zlb,strong,td3,7.0
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,asymmetric_medium,asymmetric,medium,,
linear_policy_search,0.0,1.3586998393938112,0.9429829838952036,0.3269718770163734,0.0,asymmetric_medium,asymmetric,medium,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,asymmetric_medium,asymmetric,medium,,
zero_policy,0.0,0.0,0.0,0.0,0.0,asymmetric_medium,asymmetric,medium,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,asymmetric_mild,asymmetric,mild,,
linear_policy_search,0.0,1.3174261375284617,1.0087145450416999,0.34606073402797843,0.0,asymmetric_mild,asymmetric,mild,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,asymmetric_mild,asymmetric,mild,,
zero_policy,0.0,0.0,0.0,0.0,0.0,asymmetric_mild,asymmetric,mild,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,asymmetric_strong,asymmetric,strong,,
linear_policy_search,0.0,1.3170417871196332,1.3482502612887464,0.3123644938720114,0.0,asymmetric_strong,asymmetric,strong,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,asymmetric_strong,asymmetric,strong,,
zero_policy,0.0,0.0,0.0,0.0,0.0,asymmetric_strong,asymmetric,strong,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,benchmark,benchmark,baseline,,
linear_policy_search,0.0,1.1575903322849495,0.9236787036209643,0.37948352704961363,0.0,benchmark,benchmark,baseline,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,benchmark,benchmark,baseline,,
zero_policy,0.0,0.0,0.0,0.0,0.0,benchmark,benchmark,baseline,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,nonlinear_medium,nonlinear,medium,,
linear_policy_search,0.0,1.1575903322849497,0.9236787036209644,0.37948352704961363,0.0,nonlinear_medium,nonlinear,medium,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,nonlinear_medium,nonlinear,medium,,
zero_policy,0.0,0.0,0.0,0.0,0.0,nonlinear_medium,nonlinear,medium,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,nonlinear_mild,nonlinear,mild,,
linear_policy_search,0.0,1.1575903322849495,0.9236787036209643,0.37948352704961374,0.0,nonlinear_mild,nonlinear,mild,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,nonlinear_mild,nonlinear,mild,,
zero_policy,0.0,0.0,0.0,0.0,0.0,nonlinear_mild,nonlinear,mild,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,nonlinear_strong,nonlinear,strong,,
linear_policy_search,0.0,1.1575903322849497,0.9236787036209643,0.37948352704961363,0.0,nonlinear_strong,nonlinear,strong,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,nonlinear_strong,nonlinear,strong,,
zero_policy,0.0,0.0,0.0,0.0,0.0,nonlinear_strong,nonlinear,strong,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,zlb_medium,zlb,medium,,
linear_policy_search,0.0,1.618106635995426,1.0182519791839535,0.3145107629419323,0.0,zlb_medium,zlb,medium,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,zlb_medium,zlb,medium,,
zero_policy,0.0,0.0,0.0,0.0,0.0,zlb_medium,zlb,medium,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,zlb_mild,zlb,mild,,
linear_policy_search,0.0,1.4570458473948764,1.0097357781407856,0.3434846220262117,0.0,zlb_mild,zlb,mild,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,zlb_mild,zlb,mild,,
zero_policy,0.0,0.0,0.0,0.0,0.0,zlb_mild,zlb,mild,,
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0,zlb_strong,zlb,strong,,
linear_policy_search,0.0,0.5714156226156049,0.7857946891620003,0.14268142142275209,0.0,zlb_strong,zlb,strong,,
riccati_reference,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0,zlb_strong,zlb,strong,,
zero_policy,0.0,0.0,0.0,0.0,0.0,zlb_strong,zlb,strong,,
